true_Nc,target_fis,n_sample_prop,n_loci,num_N_hypothesized,N_try_max_factor,replicate,method,num_N_hypothesized,N_try_max_factor,N_est
150,0.001,0.2,1000,15,6,5,bhd,15,6,37.835
150,0.001,0.2,1000,15,6,5,betabin,15,6,24
150,0.001,0.2,1000,15,6,5,betabin_dynamic,15,6,NA
150,0.001,0.2,1000,15,6,6,wasserstein,15,6,25.32
150,0.001,0.2,1000,15,6,6,bhd,15,6,38.885
150,0.001,0.2,1000,15,6,6,betabin,15,6,24
150,0.001,0.2,1000,15,6,6,betabin_dynamic,15,6,NA
150,0.001,0.2,1000,15,6,7,wasserstein,15,6,25.21
150,0.001,0.2,1000,15,6,7,bhd,15,6,37.875
150,0.001,0.2,1000,15,6,7,betabin,15,6,24
150,0.001,0.2,1000,15,6,7,betabin_dynamic,15,6,NA
150,0.001,0.2,1000,15,6,8,wasserstein,15,6,25.65
150,0.001,0.2,1000,15,6,8,bhd,15,6,38.4
150,0.001,0.2,1000,15,6,8,betabin,15,6,24
150,0.001,0.2,1000,15,6,8,betabin_dynamic,15,6,NA
150,0.001,0.2,1000,15,6,9,wasserstein,15,6,25.76
150,0.001,0.2,1000,15,6,9,bhd,15,6,37.28
150,0.001,0.2,1000,15,6,9,betabin,15,6,24
150,0.001,0.2,1000,15,6,9,betabin_dynamic,15,6,NA
150,0.001,0.2,1000,15,6,10,wasserstein,15,6,25.045
150,0.001,0.2,1000,15,6,10,bhd,15,6,38.22
150,0.001,0.2,1000,15,6,10,betabin,15,6,24
150,0.001,0.2,1000,15,6,10,betabin_dynamic,15,6,NA
150,0.001,0.2,1000,15,6,11,wasserstein,15,6,25.32
150,0.001,0.2,1000,15,6,11,bhd,15,6,37.885
150,0.001,0.2,1000,15,6,11,betabin,15,6,24
150,0.001,0.2,1000,15,6,11,betabin_dynamic,15,6,NA
150,0.001,0.2,1000,15,6,12,wasserstein,15,6,24.935
150,0.001,0.2,1000,15,6,12,bhd,15,6,37.82
150,0.001,0.2,1000,15,6,12,betabin,15,6,24
150,0.001,0.2,1000,15,6,12,betabin_dynamic,15,6,NA
150,0.001,0.2,1000,15,6,13,wasserstein,15,6,26.09
150,0.001,0.2,1000,15,6,13,bhd,15,6,38.11
150,0.001,0.2,1000,15,6,13,betabin,15,6,24
150,0.001,0.2,1000,15,6,13,betabin_dynamic,15,6,NA
150,0.001,0.2,1000,15,6,14,wasserstein,15,6,25.375
150,0.001,0.2,1000,15,6,14,bhd,15,6,39.495
150,0.001,0.2,1000,15,6,14,betabin,15,6,24
150,0.001,0.2,1000,15,6,14,betabin_dynamic,15,6,NA
150,0.001,0.2,1000,15,6,15,wasserstein,15,6,25.815
150,0.001,0.2,1000,15,6,15,bhd,15,6,37.99
150,0.001,0.2,1000,15,6,15,betabin,15,6,24
150,0.001,0.2,1000,15,6,15,betabin_dynamic,15,6,NA
150,0.001,0.2,1000,15,6,16,wasserstein,15,6,25.265
150,0.001,0.2,1000,15,6,16,bhd,15,6,38.11
150,0.001,0.2,1000,15,6,16,betabin,15,6,24
150,0.001,0.2,1000,15,6,16,betabin_dynamic,15,6,NA
150,0.001,0.2,1000,15,6,17,wasserstein,15,6,25.43
150,0.001,0.2,1000,15,6,17,bhd,15,6,38.325
150,0.001,0.2,1000,15,6,17,betabin,15,6,24
150,0.001,0.2,1000,15,6,17,betabin_dynamic,15,6,NA
150,0.001,0.2,1000,15,6,18,wasserstein,15,6,25.54
150,0.001,0.2,1000,15,6,18,bhd,15,6,37.105
150,0.001,0.2,1000,15,6,18,betabin,15,6,24
150,0.001,0.2,1000,15,6,18,betabin_dynamic,15,6,NA
150,0.001,0.2,1000,15,6,19,wasserstein,15,6,25.54
150,0.001,0.2,1000,15,6,19,bhd,15,6,36.885
150,0.001,0.2,1000,15,6,19,betabin,15,6,24
150,0.001,0.2,1000,15,6,19,betabin_dynamic,15,6,NA
150,0.001,0.2,1000,15,6,20,wasserstein,15,6,25.985
150,0.001,0.2,1000,15,6,20,bhd,15,6,37.94
150,0.001,0.2,1000,15,6,20,betabin,15,6,24
150,0.001,0.2,1000,15,6,20,betabin_dynamic,15,6,NA
150,0.001,0.2,1000,51,3,1,wasserstein,51,3,25.88
150,0.001,0.2,1000,51,3,1,bhd,51,3,30.075
150,0.001,0.2,1000,51,3,1,betabin,51,3,24
150,0.001,0.2,1000,51,3,1,betabin_dynamic,51,3,NA
150,0.001,0.2,1000,51,3,2,wasserstein,51,3,25.475
150,0.001,0.2,1000,51,3,2,bhd,51,3,29.25
150,0.001,0.2,1000,51,3,2,betabin,51,3,24
150,0.001,0.2,1000,51,3,2,betabin_dynamic,51,3,NA
150,0.001,0.2,1000,51,3,3,wasserstein,51,3,25.53
150,0.001,0.2,1000,51,3,3,bhd,51,3,29.54
150,0.001,0.2,1000,51,3,3,betabin,51,3,24
150,0.001,0.2,1000,51,3,3,betabin_dynamic,51,3,NA
150,0.001,0.2,1000,51,3,4,wasserstein,51,3,25.45
150,0.001,0.2,1000,51,3,4,bhd,51,3,29.39
150,0.001,0.2,1000,51,3,4,betabin,51,3,24
150,0.001,0.2,1000,51,3,4,betabin_dynamic,51,3,NA
150,0.001,0.2,1000,51,3,5,wasserstein,51,3,25.595
150,0.001,0.2,1000,51,3,5,bhd,51,3,28.97
150,0.001,0.2,1000,51,3,5,betabin,51,3,24
150,0.001,0.2,1000,51,3,5,betabin_dynamic,51,3,NA
150,0.001,0.2,1000,51,3,6,wasserstein,51,3,25.285
150,0.001,0.2,1000,51,3,6,bhd,51,3,30.19
150,0.001,0.2,1000,51,3,6,betabin,51,3,24
150,0.001,0.2,1000,51,3,6,betabin_dynamic,51,3,NA
150,0.001,0.2,1000,51,3,7,wasserstein,51,3,25.015
150,0.001,0.2,1000,51,3,7,bhd,51,3,30.165
150,0.001,0.2,1000,51,3,7,betabin,51,3,24
150,0.001,0.2,1000,51,3,7,betabin_dynamic,51,3,NA
150,0.001,0.2,1000,51,3,8,wasserstein,51,3,25.5326633165829
150,0.001,0.2,1000,51,3,8,bhd,51,3,29.3316582914573
150,0.001,0.2,1000,51,3,8,betabin,51,3,24
150,0.001,0.2,1000,51,3,8,betabin_dynamic,51,3,NA
150,0.001,0.2,1000,51,3,9,wasserstein,51,3,25.3266331658291
150,0.001,0.2,1000,51,3,9,bhd,51,3,30.1809045226131
150,0.001,0.2,1000,51,3,9,betabin,51,3,24
150,0.001,0.2,1000,51,3,9,betabin_dynamic,51,3,NA
150,0.001,0.2,1000,51,3,10,wasserstein,51,3,25.3
150,0.001,0.2,1000,51,3,10,bhd,51,3,29.625
150,0.001,0.2,1000,51,3,10,betabin,51,3,24
150,0.001,0.2,1000,51,3,10,betabin_dynamic,51,3,NA
150,0.001,0.2,1000,51,3,11,wasserstein,51,3,25.6683417085427
150,0.001,0.2,1000,51,3,11,bhd,51,3,29.4120603015075
150,0.001,0.2,1000,51,3,11,betabin,51,3,24
150,0.001,0.2,1000,51,3,11,betabin_dynamic,51,3,NA
150,0.001,0.2,1000,51,3,12,wasserstein,51,3,25.74
150,0.001,0.2,1000,51,3,12,bhd,51,3,30.465
150,0.001,0.2,1000,51,3,12,betabin,51,3,24
150,0.001,0.2,1000,51,3,12,betabin_dynamic,51,3,NA
150,0.001,0.2,1000,51,3,13,wasserstein,51,3,25.435
150,0.001,0.2,1000,51,3,13,bhd,51,3,29.22
150,0.001,0.2,1000,51,3,13,betabin,51,3,24
150,0.001,0.2,1000,51,3,13,betabin_dynamic,51,3,NA
150,0.001,0.2,1000,51,3,14,wasserstein,51,3,25.535
150,0.001,0.2,1000,51,3,14,bhd,51,3,30.33
150,0.001,0.2,1000,51,3,14,betabin,51,3,24
