"true_Nc","sample_prop","n_sample","AFS","replicate","method","num_N_hypothesized","N_try_max_factor","N_est","bias"
100,0.3,30,"beta_L_shaped",16,"wasserstein",15,3,26.6086956521739,-0.733913043478261
100,0.3,30,"beta_L_shaped",16,"bhd",15,3,63.0869565217391,-0.369130434782609
100,0.3,30,"beta_L_shaped",16,"sherwin",15,3,32.3913043478261,-0.676086956521739
100,0.3,30,"beta_L_shaped",16,"nll",15,3,32.3913043478261,-0.676086956521739
100,0.3,30,"beta_L_shaped",17,"wasserstein",15,3,26.6086956521739,-0.733913043478261
100,0.3,30,"beta_L_shaped",17,"bhd",15,3,66.9565217391304,-0.330434782608696
100,0.3,30,"beta_L_shaped",17,"sherwin",15,3,31.5652173913044,-0.684347826086957
100,0.3,30,"beta_L_shaped",17,"nll",15,3,31.5652173913044,-0.684347826086957
100,0.3,30,"beta_L_shaped",18,"wasserstein",15,3,27.0851063829787,-0.729148936170213
100,0.3,30,"beta_L_shaped",18,"bhd",15,3,62.6382978723404,-0.373617021276596
100,0.3,30,"beta_L_shaped",18,"sherwin",15,3,31.936170212766,-0.68063829787234
100,0.3,30,"beta_L_shaped",18,"nll",15,3,31.936170212766,-0.68063829787234
100,0.3,30,"beta_L_shaped",19,"wasserstein",15,3,26.3404255319149,-0.736595744680851
100,0.3,30,"beta_L_shaped",19,"bhd",15,3,69.8936170212766,-0.301063829787234
100,0.3,30,"beta_L_shaped",19,"sherwin",15,3,32.4255319148936,-0.675744680851064
100,0.3,30,"beta_L_shaped",19,"nll",15,3,35.4255319148936,-0.645744680851064
100,0.3,30,"beta_L_shaped",20,"wasserstein",15,3,26.3255813953488,-0.736744186046512
100,0.3,30,"beta_L_shaped",20,"bhd",15,3,69.1860465116279,-0.308139534883721
100,0.3,30,"beta_L_shaped",20,"sherwin",15,3,33.8372093023256,-0.661627906976744
100,0.3,30,"beta_L_shaped",20,"nll",15,3,33.8372093023256,-0.661627906976744
100,0.3,30,"beta_L_shaped",21,"wasserstein",15,3,27.2608695652174,-0.727391304347826
100,0.3,30,"beta_L_shaped",21,"bhd",15,3,63.9565217391304,-0.360434782608696
100,0.3,30,"beta_L_shaped",21,"sherwin",15,3,30.5652173913043,-0.694347826086957
100,0.3,30,"beta_L_shaped",21,"nll",15,3,30.5652173913043,-0.694347826086957
100,0.3,30,"beta_L_shaped",22,"wasserstein",15,3,27.1818181818182,-0.728181818181818
100,0.3,30,"beta_L_shaped",22,"bhd",15,3,70.7272727272727,-0.292727272727273
100,0.3,30,"beta_L_shaped",22,"sherwin",15,3,34.0909090909091,-0.659090909090909
100,0.3,30,"beta_L_shaped",22,"nll",15,3,34.0909090909091,-0.659090909090909
100,0.3,30,"beta_L_shaped",23,"wasserstein",15,3,27.0434782608696,-0.729565217391304
100,0.3,30,"beta_L_shaped",23,"bhd",15,3,58.4347826086956,-0.415652173913043
100,0.3,30,"beta_L_shaped",23,"sherwin",15,3,30.5652173913043,-0.694347826086957
100,0.3,30,"beta_L_shaped",23,"nll",15,3,30.5652173913043,-0.694347826086957
100,0.3,30,"beta_L_shaped",24,"wasserstein",15,3,26.6595744680851,-0.733404255319149
100,0.3,30,"beta_L_shaped",24,"bhd",15,3,59.3617021276596,-0.406382978723404
100,0.3,30,"beta_L_shaped",24,"sherwin",15,3,30.9148936170213,-0.690851063829787
100,0.3,30,"beta_L_shaped",24,"nll",15,3,30.9148936170213,-0.690851063829787
100,0.3,30,"beta_L_shaped",25,"wasserstein",15,3,26.8260869565217,-0.731739130434783
100,0.3,30,"beta_L_shaped",25,"bhd",15,3,60.2608695652174,-0.397391304347826
100,0.3,30,"beta_L_shaped",25,"sherwin",15,3,30.9565217391304,-0.690434782608696
100,0.3,30,"beta_L_shaped",25,"nll",15,3,30.9565217391304,-0.690434782608696
100,0.3,30,"beta_L_shaped",1,"wasserstein",15,6,31.0888888888889,-0.689111111111111
100,0.3,30,"beta_L_shaped",1,"bhd",15,6,62.5333333333333,-0.374666666666667
100,0.3,30,"beta_L_shaped",1,"sherwin",15,6,34.5111111111111,-0.654888888888889
100,0.3,30,"beta_L_shaped",1,"nll",15,6,34.5111111111111,-0.654888888888889
100,0.3,30,"beta_L_shaped",2,"wasserstein",15,6,31.1739130434783,-0.688260869565217
100,0.3,30,"beta_L_shaped",2,"bhd",15,6,61.4782608695652,-0.385217391304348
100,0.3,30,"beta_L_shaped",2,"sherwin",15,6,35.9565217391304,-0.640434782608696
100,0.3,30,"beta_L_shaped",2,"nll",15,6,35.9565217391304,-0.640434782608696
100,0.3,30,"beta_L_shaped",3,"wasserstein",15,6,32.3111111111111,-0.676888888888889
100,0.3,30,"beta_L_shaped",3,"bhd",15,6,66.5555555555556,-0.334444444444444
100,0.3,30,"beta_L_shaped",3,"sherwin",15,6,34.2666666666667,-0.657333333333333
100,0.3,30,"beta_L_shaped",3,"nll",15,6,34.2666666666667,-0.657333333333333
100,0.3,30,"beta_L_shaped",4,"wasserstein",15,6,32.0666666666667,-0.679333333333333
100,0.3,30,"beta_L_shaped",4,"bhd",15,6,65.5555555555556,-0.344444444444444
100,0.3,30,"beta_L_shaped",4,"sherwin",15,6,35.9777777777778,-0.640222222222222
100,0.3,30,"beta_L_shaped",4,"nll",15,6,35.9777777777778,-0.640222222222222
100,0.3,30,"beta_L_shaped",5,"wasserstein",15,6,31.7234042553191,-0.682765957446808
100,0.3,30,"beta_L_shaped",5,"bhd",15,6,63.3191489361702,-0.366808510638298
100,0.3,30,"beta_L_shaped",5,"sherwin",15,6,32.6595744680851,-0.673404255319149
100,0.3,30,"beta_L_shaped",5,"nll",15,6,32.6595744680851,-0.673404255319149
100,0.3,30,"beta_L_shaped",6,"wasserstein",15,6,30.5,-0.695
100,0.3,30,"beta_L_shaped",6,"bhd",15,6,62.0909090909091,-0.379090909090909
100,0.3,30,"beta_L_shaped",6,"sherwin",15,6,35.5,-0.645
100,0.3,30,"beta_L_shaped",6,"nll",15,6,35.5,-0.645
100,0.3,30,"beta_L_shaped",7,"wasserstein",15,6,30.6,-0.694
100,0.3,30,"beta_L_shaped",7,"bhd",15,6,61.5111111111111,-0.384888888888889
100,0.3,30,"beta_L_shaped",7,"sherwin",15,6,35.4888888888889,-0.645111111111111
100,0.3,30,"beta_L_shaped",7,"nll",15,6,35.4888888888889,-0.645111111111111
100,0.3,30,"beta_L_shaped",8,"wasserstein",15,6,31.8913043478261,-0.681086956521739
100,0.3,30,"beta_L_shaped",8,"bhd",15,6,65.6304347826087,-0.343695652173913
100,0.3,30,"beta_L_shaped",8,"sherwin",15,6,35.7608695652174,-0.642391304347826
100,0.3,30,"beta_L_shaped",8,"nll",15,6,36.7391304347826,-0.632608695652174
100,0.3,30,"beta_L_shaped",9,"wasserstein",15,6,28.6808510638298,-0.713191489361702
100,0.3,30,"beta_L_shaped",9,"bhd",15,6,54.1489361702128,-0.458510638297872
100,0.3,30,"beta_L_shaped",9,"sherwin",15,6,34.2978723404255,-0.657021276595745
