"true_Nc","target_fis","n_sample_prop","n_loci","method","num_N_hypothesized","N_try_max_factor","mean_bias","median_bias","rmse","cv"
150,0.001,0.3,5000,"bhd",51,6,-0.696140666666667,-0.69623,104.421273940706,0.00429026662309324
150,0.001,0.3,5000,"wasserstein",15,3,-0.731137633633634,-0.731066666666667,109.671060830291,0.00768266802614436
150,0.001,0.3,5000,"wasserstein",15,6,-0.730147333333333,-0.73022,109.522478375446,0.0072970605706252
150,0.001,0.3,5000,"wasserstein",51,3,-0.739384,-0.73948,110.907635279092,0.00232166870012953
150,0.001,0.3,5000,"wasserstein",51,6,-0.726734,-0.726976666666667,109.010288290143,0.00507135117507119
150,0.001,0.5,1000,"betabin",15,3,-0.6,-0.6,90,0
150,0.001,0.5,1000,"betabin",15,6,-0.6,-0.6,90,0
150,0.001,0.5,1000,"betabin",51,3,-0.6,-0.6,90,0
150,0.001,0.5,1000,"betabin",51,6,-0.6,-0.6,90,0
150,0.001,0.5,1000,"betabin_dynamic",15,3,0.5,0.5,75,0
150,0.001,0.5,1000,"betabin_dynamic",15,6,2,2,300,0
150,0.001,0.5,1000,"betabin_dynamic",51,3,0.5,0.5,75,NA
150,0.001,0.5,1000,"betabin_dynamic",51,6,2,2,300,0
150,0.001,0.5,1000,"bhd",15,3,-0.458771666666667,-0.458983333333333,68.8258752487028,0.0149191527389107
150,0.001,0.5,1000,"bhd",15,6,-0.366341666666667,-0.364516666666667,54.9677998809303,0.0145588042657138
150,0.001,0.5,1000,"bhd",51,3,-0.51016,-0.511533333333333,76.5302896081022,0.0137002104302373
150,0.001,0.5,1000,"bhd",51,6,-0.478691666666667,-0.479116666666667,71.8149081754617,0.0166094134738634
150,0.001,0.5,1000,"wasserstein",15,3,-0.550405,-0.552083333333333,82.5642150011129,0.011507567315622
150,0.001,0.5,1000,"wasserstein",15,6,-0.561548333333333,-0.562666666666667,84.2382453001604,0.0156780702117622
150,0.001,0.5,1000,"wasserstein",51,3,-0.562013333333333,-0.561733333333333,84.3041944092938,0.00949908182149864
150,0.001,0.5,1000,"wasserstein",51,6,-0.545275,-0.5458,81.8038887599483,0.0216289549724196
150,0.001,0.5,5000,"betabin",15,3,-0.6,-0.6,90,0
150,0.001,0.5,5000,"betabin",15,6,-0.6,-0.6,90,0
150,0.001,0.5,5000,"betabin",51,3,-0.6,-0.6,90,0
150,0.001,0.5,5000,"betabin",51,6,-0.6,-0.6,90,0
150,0.001,0.5,5000,"betabin_dynamic",15,3,NA,NA,NA,NA
150,0.001,0.5,5000,"betabin_dynamic",15,6,NA,NA,NA,NA
150,0.001,0.5,5000,"betabin_dynamic",51,3,NA,NA,NA,NA
150,0.001,0.5,5000,"betabin_dynamic",51,6,NA,NA,NA,NA
150,0.001,0.5,5000,"bhd",15,3,-0.460430333333333,-0.460476666666667,69.0663355083358,0.0062954350927139
150,0.001,0.5,5000,"bhd",15,6,-0.368181666666667,-0.367826666666667,55.2337703271287,0.00918742765891872
150,0.001,0.5,5000,"bhd",51,3,-0.508822666666667,-0.508613333333333,76.3245991768054,0.00595793539095893
150,0.001,0.5,5000,"bhd",51,6,-0.477342666666667,-0.47854,71.6054399658294,0.00995406830841507
150,0.001,0.5,5000,"wasserstein",15,3,-0.551086666666667,-0.550706666666667,82.6638121888895,0.00558321820712673
150,0.001,0.5,5000,"wasserstein",15,6,-0.562332,-0.563226666666667,84.3508826521691,0.00667890150714046
150,0.001,0.5,5000,"wasserstein",51,3,-0.563372666666667,-0.563286666666667,84.5063435376304,0.00428904238592067
150,0.001,0.5,5000,"wasserstein",51,6,-0.546292333333333,-0.545066666666667,81.945680779099,0.00825780073868295
150,0.001,0.7,1000,"betabin",15,3,-0.44,-0.44,66,0
150,0.001,0.7,1000,"betabin",15,6,-0.44,-0.44,66,0
150,0.001,0.7,1000,"betabin",51,3,-0.44,-0.44,66,0
150,0.001,0.7,1000,"betabin",51,6,-0.44,-0.44,66,0
150,0.001,0.7,1000,"betabin_dynamic",15,3,1.1,1.1,165,NA
150,0.001,0.7,1000,"betabin_dynamic",15,6,3.2,3.2,480,0
150,0.001,0.7,1000,"betabin_dynamic",51,3,1.1,1.1,165,0
150,0.001,0.7,1000,"betabin_dynamic",51,6,NA,NA,NA,NA
150,0.001,0.7,1000,"bhd",15,3,-0.173088333333333,-0.170416666666667,26.1116884507686,0.0229972236165818
150,0.001,0.7,1000,"bhd",15,6,-0.023805,-0.0227,5.50832699192777,0.0293873681255599
150,0.001,0.7,1000,"bhd",51,3,-0.236751666666667,-0.23905,35.5945366769958,0.0216112261868974
150,0.001,0.7,1000,"bhd",51,6,-0.171093333333333,-0.176783333333333,25.9055021665283,0.029120464008053
150,0.001,0.7,1000,"wasserstein",15,3,-0.34867,-0.350233333333333,52.313732446653,0.0123555282671984
150,0.001,0.7,1000,"wasserstein",15,6,-0.321505,-0.3217,48.2934043245038,0.0257605316515241
150,0.001,0.7,1000,"wasserstein",51,3,-0.369871666666667,-0.369416666666667,55.485934963286,0.0082335490913084
150,0.001,0.7,1000,"wasserstein",51,6,-0.367308333333333,-0.36655,55.1071604580566,0.0118542432141773
150,0.001,0.7,5000,"betabin",15,3,-0.44,-0.44,66,0
150,0.001,0.7,5000,"betabin",15,6,-0.44,-0.44,66,0
150,0.001,0.7,5000,"betabin",51,3,-0.44,-0.44,66,0
150,0.001,0.7,5000,"betabin",51,6,-0.44,-0.44,66,0
150,0.001,0.7,5000,"betabin_dynamic",15,3,NA,NA,NA,NA
150,0.001,0.7,5000,"betabin_dynamic",15,6,NA,NA,NA,NA
150,0.001,0.7,5000,"betabin_dynamic",51,3,NA,NA,NA,NA
150,0.001,0.7,5000,"betabin_dynamic",51,6,NA,NA,NA,NA
150,0.001,0.7,5000,"bhd",15,3,-0.172315333333333,-0.172026666666667,25.8755181339427,0.00998360209811926
150,0.001,0.7,5000,"bhd",15,6,-0.00794500000000002,-0.00528000000000001,2.89191247274187,0.0181669207008354
150,0.001,0.7,5000,"bhd",51,3,-0.241106333333333,-0.239273333333333,36.1843392567835,0.010396047002392
150,0.001,0.7,5000,"bhd",51,6,-0.164847666666667,-0.163293333333333,24.7908877059697,0.0145499388059498
150,0.001,0.7,5000,"wasserstein",15,3,-0.346294333333333,-0.344866666666667,51.950259380007,0.00833603150965388
150,0.001,0.7,5000,"wasserstein",15,6,-0.318931,-0.31819,47.8504002726205,0.0101858893830366
150,0.001,0.7,5000,"wasserstein",51,3,-0.371191666666667,-0.37099,55.6808067411922,0.00520573695602343
150,0.001,0.7,5000,"wasserstein",51,6,-0.367453666666667,-0.368043333333333,55.1199201573261,0.00490974878184204
150,0.05,0.2,1000,"betabin",15,3,-0.84,-0.84,126,0
150,0.05,0.2,1000,"betabin",15,6,-0.84,-0.84,126,0
150,0.05,0.2,1000,"betabin",51,3,-0.84,-0.84,126,0
150,0.05,0.2,1000,"betabin",51,6,-0.84,-0.84,126,0
150,0.05,0.2,1000,"betabin_dynamic",15,3,-0.400236666666667,-0.4,60.0355709767135,0.00105279584383365
150,0.05,0.2,1000,"betabin_dynamic",15,6,0.199423693467337,0.2,29.9144739039956,0.00133780608264352
150,0.05,0.2,1000,"betabin_dynamic",51,3,-0.400105,-0.4,60.0157892662423,0.000782760775260591
150,0.05,0.2,1000,"betabin_dynamic",51,6,0.199551666666667,0.2,29.9332892237054,0.00102447822256177
150,0.05,0.2,1000,"bhd",15,3,-0.784617680067002,-0.786,117.69494948965,0.0233536362515474
